game,_AR_
playId,grupo1-v1
playerAlias,josinha,HP-HP_170126_192837_628
totalPlays,5
totalCorrect,2
successRate,0.2
minHits,2
gameMode, readTree
status, OK
waitedResult,optionChosen,correct,movementTime,decisionTime
0,0,True,0.7967311,10.40521
2,2,True,0.6225249,1.616867
1,0,False,2.288231,3.085129
1,0,False,0.6466617,1.267395
2,0,False,2.963099,3.758698
