game,_JG_
playId,grupo1-v2
playerAlias,aasd,HP-HP_2017210_113257_286
totalPlays,5
totalCorrect,1
successRate,*** >0<
minHits, ?????
gameMode,readTree
status,OK
waitedResult,optionChosen,correct,movementTime,decisionTime
2,0,False,1.859586,-----
0,1,False,0.25273,-----
0,2,False,0.260007,-----
1,0,False,0.135414,-----
2,2,True,0.019345,-----
