game,_JG_
playId,grupo1-v2
playerAlias,JIBAN,HP-HP_2017313_175518_479
totalPlays,5
totalCorrect,0
successRate,*** >0<
minHits, ?????
gameMode,readTree
status,OK
waitedResult,optionChosen,correct,movementTime,decisionTime
1,2,False,1.097778,-----
2,0,False,0,-----
0,1,False,0,-----
0,1,False,0,-----
1,2,False,0.050626,-----
